X0;X1;X2;RCE
1656597901.1059957;2.5;0.27;1903.76
1656598201.1113908;2.72;0.25;1903.76
1656598501.116786;2.73;1.08;1903.76
1656598801.1221812;2.63;1.23;1903.76
1656599101.127576;2.55;1.33;1903.76
1656599401.1329713;2.54;1.41;1903.76
1656599701.1383665;2.4;1.46;1903.76
1656600001.1437614;2.31;1.47;1903.76
1656600301.1491566;2.3;1.46;1903.76
1656600601.1545517;2.15;1.57;1903.76
1656600901.1599467;1.67;1.45;2195.02
1656601201.1653419;1.09;1.44;2195.02
1656601501.170737;1.83;1.29;2195.02
1656601801.176132;1.71;1.29;2195.02
1656602101.1815271;1.67;1.28;2195.02
1656602401.1869223;1.53;1.34;2195.02
1656602701.1923175;1.39;1.28;2195.02
1656603001.1977124;1.38;1.28;2195.02
1656603301.2031076;1.19;1.27;2195.02
1656603601.2085028;1.11;1.25;2195.02
1656603901.2138977;0.87;1.23;2195.02
1656604201.2192929;1.0;1.28;2195.02
1656604501.224688;0.95;1.3;2135.65
1656604801.230083;0.74;1.26;2135.65
1656605101.2354782;0.73;1.24;2135.65
1656605401.2408733;0.71;1.23;2135.65
1656605701.2462683;0.59;1.26;2135.65
1656606001.2516634;0.54;1.26;2135.65
1656606301.2570586;0.5;1.24;2135.65
1656606601.2624538;0.44;1.28;2135.65
1656606901.2678487;0.42;1.22;2135.65
1656607201.273244;0.41;1.2;2135.65
1656607501.278639;0.42;1.18;2135.65
1656607801.284034;0.44;1.1;2135.65
1656608101.2894292;0.45;1.07;1908.31
1656608401.2948244;0.43;1.05;1908.31
1656608701.3002193;0.38;1.36;1908.31
1656609001.3056145;0.36;1.04;1908.31
1656609301.3110096;0.33;1.05;1908.31
1656609601.3164048;0.29;1.03;1908.31
1656609901.3217998;0.29;1.03;1908.31
1656610201.327195;0.26;1.03;1908.31
1656610501.33259;0.25;1.02;1908.31
1656610801.337985;0.26;1.02;1908.31
1656611101.3433802;0.24;1.03;1908.31
1656611401.3487754;0.22;1.04;1908.31
1656611701.3541703;0.15;1.28;1985.69
1656612001.3595655;0.1;0.92;1985.69
1656612301.3649607;0.1;0.92;1985.69
1656612601.3703556;0.03;0.98;1985.69
1656612901.3757508;0.0;1.16;1985.69
1656613201.381146;0.0;0.99;1985.69
1656613501.3865411;0.0;1.0;1985.69
1656613801.391936;0.0;1.05;1985.69
1656614101.3973312;0.0;1.07;1985.69
1656614401.4027264;0.0;1.02;1985.69
1656614701.4081213;0.0;1.03;1985.69
1656615001.4135165;0.0;1.05;1985.69
1656615301.4189117;0.0;1.08;1347.04
1656615601.4243066;0.0;1.05;1347.04
1656615901.4297018;0.0;1.05;1347.04
1656616201.435097;0.0;0.97;1347.04
1656616501.440492;0.0;0.92;1347.04
1656616801.445887;0.0;1.0;1347.04
1656617101.4512823;0.0;1.01;1347.04
1656617401.4566774;0.0;1.0;1347.04
1656617701.4620724;0.0;1.06;1347.04
1656618001.4674675;0.0;1.06;1347.04
1656618301.4728627;0.0;1.01;1347.04
1656618601.4782577;0.0;1.0;1347.04
1656618901.4836528;0.0;1.0;1109.49
1656619201.489048;0.0;1.0;1109.49
1656619501.494443;0.0;1.03;1109.49
1656619801.499838;0.0;1.01;1109.49
1656620101.5052333;0.0;1.16;1109.49
1656620401.5106285;0.0;1.21;1109.49
1656620701.5160234;0.0;1.18;1109.49
1656621001.5214186;0.0;1.3;1109.49
1656621301.5268137;0.0;1.34;1109.49
1656621601.5322087;0.0;1.2;1109.49
1656621901.5376039;0.0;1.16;1109.49
1656622201.542999;0.0;1.26;1109.49
1656622501.548394;0.0;1.26;1015.14
1656622801.5537891;0.0;1.3;1015.14
1656623101.5591843;0.0;1.3;1015.14
1656623401.5645792;0.0;1.22;1015.14
1656623701.5699744;0.0;1.19;1015.14
1656624001.5753696;0.0;1.2;1015.14
1656624301.5807648;0.0;1.25;1015.14
1656624601.5861597;0.0;1.21;1015.14
1656624901.5915549;0.0;1.23;1015.14
1656625201.59695;0.0;1.22;1015.14
1656625501.602345;0.0;1.51;1015.14
1656625801.6077402;0.0;0.98;1015.14
1656626101.6131353;0.0;0.99;1026.42
1656626401.6185303;0.0;0.2;1026.42
1656626701.6239254;0.0;0.19;1026.42
1656627001.6293206;0.0;0.19;1026.42
1656627301.6347158;0.0;0.19;1026.42
1656627601.6401107;0.0;0.19;1026.42
1656627901.645506;0.0;0.2;1026.42
1656628201.650901;0.0;0.19;1026.42
1656628501.656296;0.0;0.19;1026.42
1656628801.6616912;0.0;0.19;1026.42
1656629101.6670864;0.0;0.19;1026.42
1656629401.6724813;0.0;0.19;1026.42
1656629701.6778765;0.0;0.2;1031.45
1656630001.6832716;0.0;0.19;1031.45
1656630301.6886666;0.0;0.19;1031.45
1656630601.6940618;0.0;0.2;1031.45
1656630901.699457;0.0;0.19;1031.45
1656631201.704852;0.0;0.19;1031.45
1656631501.710247;0.0;0.19;1031.45
1656631801.7156422;0.0;0.19;1031.45
1656632101.7210374;0.0;0.19;1031.45
1656632401.7264323;0.0;0.19;1031.45
1656632701.7318275;0.0;0.19;1031.45
1656633001.7372227;0.0;0.19;1031.45
1656633301.7426176;0.0;0.19;1015.38
1656633601.7480128;0.0;0.19;1015.38
1656633901.753408;0.0;0.19;1015.38
1656634201.758803;0.0;0.19;1015.38
1656634501.764198;0.0;0.19;1015.38
1656634801.7695932;0.0;0.19;1015.38
1656635101.7749884;0.0;0.19;1015.38
1656635401.7803833;0.0;0.19;1015.38
1656635701.7857785;0.0;0.18;1015.38
1656636001.7911737;0.0;0.19;1015.38
1656636301.7965686;0.0;0.19;1015.38
1656636601.8019638;0.0;0.18;1015.38
1656636901.807359;0.0;0.19;952.37
1656637201.812754;0.0;0.19;952.37
1656637501.818149;0.0;0.19;952.37
1656637801.8235443;0.0;0.18;952.37
1656638101.8289394;0.0;0.19;952.37
1656638401.8343344;0.0;0.18;952.37
1656638701.8397295;0.0;0.18;952.37
1656639001.8451247;0.0;0.18;952.37
1656639301.8505197;0.01;0.15;952.37
1656639601.8559148;0.01;0.15;952.37
1656639901.86131;0.03;0.15;952.37
1656640201.866705;0.03;0.15;952.37
1656640501.8721;0.03;0.15;1367.77
1656640801.8774953;0.04;0.15;1367.77
1656641101.8828902;0.03;0.15;1367.77
1656641401.8882854;0.03;0.15;1367.77
1656641701.8936806;0.04;0.15;1367.77
1656642001.8990757;0.03;0.15;1367.77
1656642301.9044707;0.03;0.15;1367.77
1656642601.9098659;0.03;0.15;1367.77
1656642901.915261;0.14;0.11;1367.77
1656643201.920656;0.18;0.05;1367.77
1656643501.9260511;0.23;0.05;1367.77
1656643801.9314463;0.31;0.06;1367.77
1656644101.9368412;0.32;0.06;1563.88
1656644401.9422364;0.43;0.07;1563.88
1656644701.9476316;0.43;0.07;1563.88
1656645001.9530265;0.53;0.06;1563.88
1656645301.9584217;0.57;0.07;1563.88
1656645601.963817;0.57;0.07;1563.88
1656645901.969212;0.51;0.07;1563.88
1656646201.974607;0.44;0.05;1563.88
1656646501.9800022;0.39;0.07;1563.88
1656646801.9853973;0.41;0.06;1563.88
1656647101.9907923;0.42;0.11;1563.88
1656647401.9961874;0.41;0.11;1563.88
1656647702.0015826;0.4;0.13;1648.33
1656648002.0069776;0.4;0.13;1648.33
1656648302.0123727;0.4;0.13;1648.33
1656648602.017768;0.44;0.19;1648.33
1656648902.023163;0.49;0.14;1648.33
1656649202.028558;0.56;0.24;1648.33
1656649502.0339532;0.74;0.26;1648.33
1656649802.0393484;0.84;0.26;1648.33
1656650102.0447433;0.87;0.27;1648.33
1656650402.0501385;0.96;0.76;1648.33
1656650702.0555336;0.8;0.26;1648.33
1656651002.0609286;0.64;0.24;1648.33
